"REF_DATE","GEO","DGUID","Characteristics","Net worth indicators (wealth)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Highest income quintile","Debt to disposable income ratio","Percent","239","units ","0","v1059497557","1.6.17","","..","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Financial assets as a share of total assets","Percent","239","units ","0","v1059497558","1.7.1","33.5","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497559","1.7.2","8.8","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497560","1.7.3","24.7","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497561","1.7.4","66.5","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Real estate as a share of total assets","Percent","239","units ","0","v1059497562","1.7.5","54.9","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497563","1.7.6","11.6","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Liabilities as a share of total assets","Percent","239","units ","0","v1059497564","1.7.7","47.1","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497565","1.7.8","30.8","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497566","1.7.9","16.2","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Liabilities as a share of net worth","Percent","239","units ","0","v1059497567","1.7.10","88.9","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Assets as a share of net worth","Percent","239","units ","0","v1059497568","1.7.11","188.9","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Financial assets as a share of net worth","Percent","239","units ","0","v1059497569","1.7.12","63.3","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497570","1.7.13","50.4","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497571","1.7.14","43.9","","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Real estate as a share of disposable income","Percent","239","units ","0","v1059497572","1.7.15","","..","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Net worth as a share of disposable income","Percent","239","units ","0","v1059497573","1.7.16","","..","","","1"
"2010","Canada","2016A000011124","Less than 35 years","Debt to disposable income ratio","Percent","239","units ","0","v1059497574","1.7.17","","..","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Financial assets as a share of total assets","Percent","239","units ","0","v1059497575","1.8.1","36.5","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497576","1.8.2","11.9","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497577","1.8.3","24.6","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497578","1.8.4","63.5","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Real estate as a share of total assets","Percent","239","units ","0","v1059497579","1.8.5","55.1","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497580","1.8.6","8.4","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Liabilities as a share of total assets","Percent","239","units ","0","v1059497581","1.8.7","36.0","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497582","1.8.8","25.3","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497583","1.8.9","10.7","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Liabilities as a share of net worth","Percent","239","units ","0","v1059497584","1.8.10","56.3","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Assets as a share of net worth","Percent","239","units ","0","v1059497585","1.8.11","156.3","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Financial assets as a share of net worth","Percent","239","units ","0","v1059497586","1.8.12","57.1","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497587","1.8.13","57.5","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497588","1.8.14","54.1","","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Real estate as a share of disposable income","Percent","239","units ","0","v1059497589","1.8.15","","..","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Net worth as a share of disposable income","Percent","239","units ","0","v1059497590","1.8.16","","..","","","1"
"2010","Canada","2016A000011124","35 to 44 years","Debt to disposable income ratio","Percent","239","units ","0","v1059497591","1.8.17","","..","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Financial assets as a share of total assets","Percent","239","units ","0","v1059497592","1.9.1","53.2","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497593","1.9.2","19.8","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497594","1.9.3","33.4","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497595","1.9.4","46.8","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Real estate as a share of total assets","Percent","239","units ","0","v1059497596","1.9.5","40.5","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497597","1.9.6","6.3","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Liabilities as a share of total assets","Percent","239","units ","0","v1059497598","1.9.7","17.7","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497599","1.9.8","10.7","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497600","1.9.9","7.1","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Liabilities as a share of net worth","Percent","239","units ","0","v1059497601","1.9.10","21.6","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Assets as a share of net worth","Percent","239","units ","0","v1059497602","1.9.11","121.6","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Financial assets as a share of net worth","Percent","239","units ","0","v1059497603","1.9.12","64.7","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497604","1.9.13","113.7","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497605","1.9.14","73.7","","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Real estate as a share of disposable income","Percent","239","units ","0","v1059497606","1.9.15","","..","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Net worth as a share of disposable income","Percent","239","units ","0","v1059497607","1.9.16","","..","","","1"
"2010","Canada","2016A000011124","45 to 54 years","Debt to disposable income ratio","Percent","239","units ","0","v1059497608","1.9.17","","..","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Financial assets as a share of total assets","Percent","239","units ","0","v1059497609","1.10.1","61.0","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497610","1.10.2","25.8","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497611","1.10.3","35.2","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497612","1.10.4","39.0","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Real estate as a share of total assets","Percent","239","units ","0","v1059497613","1.10.5","33.7","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497614","1.10.6","5.4","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Liabilities as a share of total assets","Percent","239","units ","0","v1059497615","1.10.7","10.9","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497616","1.10.8","5.6","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497617","1.10.9","5.4","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Liabilities as a share of net worth","Percent","239","units ","0","v1059497618","1.10.10","12.3","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Assets as a share of net worth","Percent","239","units ","0","v1059497619","1.10.11","112.3","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Financial assets as a share of net worth","Percent","239","units ","0","v1059497620","1.10.12","68.5","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497621","1.10.13","156.2","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497622","1.10.14","83.5","","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Real estate as a share of disposable income","Percent","239","units ","0","v1059497623","1.10.15","","..","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Net worth as a share of disposable income","Percent","239","units ","0","v1059497624","1.10.16","","..","","","1"
"2010","Canada","2016A000011124","55 to 64 years","Debt to disposable income ratio","Percent","239","units ","0","v1059497625","1.10.17","","..","","","1"
"2010","Canada","2016A000011124","65 years and over","Financial assets as a share of total assets","Percent","239","units ","0","v1059497626","1.11.1","59.1","","","","1"
"2010","Canada","2016A000011124","65 years and over","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v1059497627","1.11.2","21.8","","","","1"
"2010","Canada","2016A000011124","65 years and over","Other financial assets as a share of total assets","Percent","239","units ","0","v1059497628","1.11.3","37.3","","","","1"
"2010","Canada","2016A000011124","65 years and over","Non-financial assets as a share of total assets","Percent","239","units ","0","v1059497629","1.11.4","41.0","","","","1"
"2010","Canada","2016A000011124","65 years and over","Real estate as a share of total assets","Percent","239","units ","0","v1059497630","1.11.5","36.0","","","","1"
"2010","Canada","2016A000011124","65 years and over","Other non-financial assets as a share of total assets","Percent","239","units ","0","v1059497631","1.11.6","5.0","","","","1"
"2010","Canada","2016A000011124","65 years and over","Liabilities as a share of total assets","Percent","239","units ","0","v1059497632","1.11.7","5.1","","","","1"
"2010","Canada","2016A000011124","65 years and over","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v1059497633","1.11.8","2.0","","","","1"
"2010","Canada","2016A000011124","65 years and over","Other liabilities as a share of total assets","Percent","239","units ","0","v1059497634","1.11.9","3.1","","","","1"
"2010","Canada","2016A000011124","65 years and over","Liabilities as a share of net worth","Percent","239","units ","0","v1059497635","1.11.10","5.4","","","","1"
"2010","Canada","2016A000011124","65 years and over","Assets as a share of net worth","Percent","239","units ","0","v1059497636","1.11.11","105.4","","","","1"
"2010","Canada","2016A000011124","65 years and over","Financial assets as a share of net worth","Percent","239","units ","0","v1059497637","1.11.12","62.2","","","","1"
"2010","Canada","2016A000011124","65 years and over","Financial assets to non-financial assets ratio","Percent","239","units ","0","v1059497638","1.11.13","144.2","","","","1"
"2010","Canada","2016A000011124","65 years and over","Owner's equity as a share of real estate","Percent","239","units ","0","v1059497639","1.11.14","94.4","","","","1"
"2010","Canada","2016A000011124","65 years and over","Real estate as a share of disposable income","Percent","239","units ","0","v1059497640","1.11.15","","..","","","1"
"2010","Canada","2016A000011124","65 years and over","Net worth as a share of disposable income","Percent","239","units ","0","v1059497641","1.11.16","","..","","","1"
"2010","Canada","2016A000011124","65 years and over","Debt to disposable income ratio","Percent","239","units ","0","v1059497642","1.11.17","","..","","","1"
"2010","Atlantic Region","2016A00011","All households","Financial assets as a share of total assets","Percent","239","units ","0","v116905398","2.1.1","56.3","","","","1"
"2010","Atlantic Region","2016A00011","All households","Life insurance and pensions as a share of total assets","Percent","239","units ","0","v116905399","2.1.2","30.1","","","","1"
"2010","Atlantic Region","2016A00011","All households","Other financial assets as a share of total assets","Percent","239","units ","0","v116905400","2.1.3","26.2","","","","1"
"2010","Atlantic Region","2016A00011","All households","Non-financial assets as a share of total assets","Percent","239","units ","0","v116905401","2.1.4","43.7","","","","1"
"2010","Atlantic Region","2016A00011","All households","Real estate as a share of total assets","Percent","239","units ","0","v116905402","2.1.5","34.0","","","","1"
"2010","Atlantic Region","2016A00011","All households","Other non-financial assets as a share of total assets","Percent","239","units ","0","v116905403","2.1.6","9.8","","","","1"
"2010","Atlantic Region","2016A00011","All households","Liabilities as a share of total assets","Percent","239","units ","0","v116905404","2.1.7","20.3","","","","1"
"2010","Atlantic Region","2016A00011","All households","Mortgage liabilities as a share of total assets","Percent","239","units ","0","v116905405","2.1.8","10.6","","","","1"
"2010","Atlantic Region","2016A00011","All households","Other liabilities as a share of total assets","Percent","239","units ","0","v116905406","2.1.9","9.7","","","","1"
"2010","Atlantic Region","2016A00011","All households","Liabilities as a share of net worth","Percent","239","units ","0","v116905407","2.1.10","25.5","","","","1"
"2010","Atlantic Region","2016A00011","All households","Assets as a share of net worth","Percent","239","units ","0","v116905408","2.1.11","125.5","","","","1"
"2010","Atlantic Region","2016A00011","All households","Financial assets as a share of net worth","Percent","239","units ","0","v116905409","2.1.12","70.6","","","","1"
"2010","Atlantic Region","2016A00011","All households","Financial assets to non-financial assets ratio","Percent","239","units ","0","v116905410","2.1.13","128.7","","","","1"
